# timestamp(s) tx ty tz qx qy qz qw
3.775000000 -13.000000 13.000000 1.210661 0.000000 0.000000 0.000000 1.000000
3.780000000 -13.000000 13.000000 1.208004 0.000000 0.000000 0.000000 1.000000
3.785000000 -13.000000 13.000000 1.205368 0.000000 0.000000 0.000000 1.000000
3.790000000 -13.000000 13.000000 1.202753 0.000000 0.000000 0.000000 1.000000
3.795000000 -13.000000 13.000000 1.200159 0.000000 0.000000 0.000000 1.000000
3.800000000 -13.000000 13.000000 1.197586 0.000000 0.000000 0.000000 1.000000
3.805000000 -13.000000 13.000000 1.195035 0.000000 0.000000 0.000000 1.000000
3.810000000 -13.000000 13.000000 1.192504 0.000000 0.000000 0.000000 1.000000
3.815000000 -13.000000 13.000000 1.189995 0.000000 0.000000 0.000000 1.000000
3.820000000 -13.000000 13.000000 1.187507 0.000000 0.000000 0.000000 1.000000
3.825000000 -13.000000 13.000000 1.185040 0.000000 0.000000 0.000000 1.000000
3.830000000 -13.000000 13.000000 1.182594 0.000000 0.000000 0.000000 1.000000
3.835000000 -13.000000 13.000000 1.180170 0.000000 0.000000 0.000000 1.000000
3.840000000 -13.000000 13.000000 1.177766 0.000000 0.000000 0.000000 1.000000
3.845000000 -13.000000 13.000000 1.175384 0.000000 0.000000 0.000000 1.000000
3.850000000 -13.000000 13.000000 1.173022 0.000000 0.000000 0.000000 1.000000
3.855000000 -13.000000 13.000000 1.170682 0.000000 0.000000 0.000000 1.000000
3.860000000 -13.000000 13.000000 1.168363 0.000000 0.000000 0.000000 1.000000
3.865000000 -13.000000 13.000000 1.166064 0.000000 0.000000 0.000000 1.000000
3.870000000 -13.000000 13.000000 1.163786 0.000000 0.000000 0.000000 1.000000
3.875000000 -13.000000 13.000000 1.161530 0.000000 0.000000 0.000000 1.000000
3.880000000 -13.000000 13.000000 1.159294 0.000000 0.000000 0.000000 1.000000
3.885000000 -13.000000 13.000000 1.157079 0.000000 0.000000 0.000000 1.000000
3.890000000 -13.000000 13.000000 1.154884 0.000000 0.000000 0.000000 1.000000
3.895000000 -13.000000 13.000000 1.152710 0.000000 0.000000 0.000000 1.000000
3.900000000 -13.000000 13.000000 1.150557 0.000000 0.000000 0.000000 1.000000
3.905000000 -13.000000 13.000000 1.148424 0.000000 0.000000 0.000000 1.000000
3.910000000 -13.000000 13.000000 1.146312 0.000000 0.000000 0.000000 1.000000
3.915000000 -13.000000 13.000000 1.144220 0.000000 0.000000 0.000000 1.000000
3.920000000 -13.000000 13.000000 1.142148 0.000000 0.000000 0.000000 1.000000
3.925000000 -13.000000 13.000000 1.140097 0.000000 0.000000 0.000000 1.000000
3.930000000 -13.000000 13.000000 1.138066 0.000000 0.000000 0.000000 1.000000
3.935000000 -13.000000 13.000000 1.136055 0.000000 0.000000 0.000000 1.000000
3.940000000 -13.000000 13.000000 1.134064 0.000000 0.000000 0.000000 1.000000
3.945000000 -13.000000 13.000000 1.132092 0.000000 0.000000 0.000000 1.000000
3.950000000 -13.000000 13.000000 1.130141 0.000000 0.000000 0.000000 1.000000
3.955000000 -13.000000 13.000000 1.128210 0.000000 0.000000 0.000000 1.000000
3.960000000 -13.000000 13.000000 1.126298 0.000000 0.000000 0.000000 1.000000
3.965000000 -13.000000 13.000000 1.124406 0.000000 0.000000 0.000000 1.000000
3.970000000 -13.000000 13.000000 1.122533 0.000000 0.000000 0.000000 1.000000
3.975000000 -13.000000 13.000000 1.120680 0.000000 0.000000 0.000000 1.000000
3.980000000 -13.000000 13.000000 1.118846 0.000000 0.000000 0.000000 1.000000
3.985000000 -13.000000 13.000000 1.117031 0.000000 0.000000 0.000000 1.000000
3.990000000 -13.000000 13.000000 1.115235 0.000000 0.000000 0.000000 1.000000
3.995000000 -13.000000 13.000000 1.113459 0.000000 0.000000 0.000000 1.000000
4.000000000 -13.000000 13.000000 1.111701 0.000000 0.000000 0.000000 1.000000
4.005000000 -13.000000 13.000000 1.109963 0.000000 0.000000 0.000000 1.000000
4.010000000 -13.000000 13.000000 1.108243 0.000000 0.000000 0.000000 1.000000
4.015000000 -13.000000 13.000000 1.106541 0.000000 0.000000 0.000000 1.000000
4.020000000 -13.000000 13.000000 1.104859 0.000000 0.000000 0.000000 1.000000
4.025000000 -13.000000 13.000000 1.103194 0.000000 0.000000 0.000000 1.000000
4.030000000 -13.000000 13.000000 1.101548 0.000000 0.000000 0.000000 1.000000
4.035000000 -13.000000 13.000000 1.099920 0.000000 0.000000 0.000000 1.000000
4.040000000 -13.000000 13.000000 1.098311 0.000000 0.000000 0.000000 1.000000
4.045000000 -13.000000 13.000000 1.096719 0.000000 0.000000 0.000000 1.000000
4.050000000 -13.000000 13.000000 1.095145 0.000000 0.000000 0.000000 1.000000
4.055000000 -13.000000 13.000000 1.093589 0.000000 0.000000 0.000000 1.000000
4.060000000 -13.000000 13.000000 1.092051 0.000000 0.000000 0.000000 1.000000
4.065000000 -13.000000 13.000000 1.090530 0.000000 0.000000 0.000000 1.000000
4.070000000 -13.000000 13.000000 1.089027 0.000000 0.000000 0.000000 1.000000
4.075000000 -13.000000 13.000000 1.087541 0.000000 0.000000 0.000000 1.000000
4.080000000 -13.000000 13.000000 1.086073 0.000000 0.000000 0.000000 1.000000
4.085000000 -13.000000 13.000000 1.084621 0.000000 0.000000 0.000000 1.000000
4.090000000 -13.000000 13.000000 1.083186 0.000000 0.000000 0.000000 1.000000
4.095000000 -13.000000 13.000000 1.081769 0.000000 0.000000 0.000000 1.000000
4.100000000 -13.000000 13.000000 1.080368 0.000000 0.000000 0.000000 1.000000
4.105000000 -13.000000 13.000000 1.078984 0.000000 0.000000 0.000000 1.000000
4.110000000 -13.000000 13.000000 1.077616 0.000000 0.000000 0.000000 1.000000
4.115000000 -13.000000 13.000000 1.076265 0.000000 0.000000 0.000000 1.000000
4.120000000 -13.000000 13.000000 1.074930 0.000000 0.000000 0.000000 1.000000
4.125000000 -13.000000 13.000000 1.073611 0.000000 0.000000 0.000000 1.000000
4.130000000 -13.000000 13.000000 1.072308 0.000000 0.000000 0.000000 1.000000
